animal name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,species5
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,species3
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,species3
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Species4
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,Species1
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Species1
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,species2
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,Species1
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,species6
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Species1
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,species7
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,species2
